record_id,student_id,dataset_source,sleep_hours,academic_score,gender,sleep_category,integration_method,bedtime_variability,cumulative_gpa,age,study_hours_per_day,attendance_percentage,productivity_score,distraction_hours
806,KGL_S1258,Kaggle,3.2,90.8,Female,Poor,append,,,24,5.8,66.5,7016.666666666667,3.4
1153,KGL_S1605,Kaggle,3.3,67.6,Male,Poor,append,,,19,2.2,100.0,6906.25,5.3
1275,KGL_S1727,Kaggle,3.3,57.4,Male,Poor,append,,,19,4.1,70.2,6255.0,5.800000000000001
1130,KGL_S1582,Kaggle,3.3,61.0,Male,Poor,append,,,20,3.6,72.6,6565.000000000001,4.800000000000001
1043,KGL_S1495,Kaggle,3.4,49.9,Male,Poor,append,,,23,3.1,78.8,6272.083333333333,5.7
1335,KGL_S1787,Kaggle,3.5,64.4,Male,Poor,append,,,24,3.5,79.0,6214.583333333334,2.3
845,KGL_S1297,Kaggle,3.5,60.1,Female,Poor,append,,,23,4.1,82.4,5726.666666666667,4.199999999999999
1085,KGL_S1537,Kaggle,3.6,58.9,Female,Poor,append,,,23,2.5,80.0,6697.916666666667,3.1
1232,KGL_S1684,Kaggle,3.6,59.8,Male,Poor,append,,,17,3.7,81.8,5649.166666666667,6.4
1367,KGL_S1819,Kaggle,3.6,67.3,Male,Poor,append,,,17,4.1,74.6,5625.416666666666,3.3000000000000003
231,CMU_487,CMU,3.6645833333333333,37.5,Female,Poor,append,0.522706173,2.78,,,,,
979,KGL_S1431,Kaggle,3.7,29.9,Female,Poor,append,,,22,0.0,82.0,4581.25,4.5
1414,KGL_S1866,Kaggle,3.7,87.9,Female,Poor,append,,,21,6.2,80.9,6439.166666666667,3.6
1060,KGL_S1512,Kaggle,3.8,61.6,Female,Poor,append,,,23,2.9,88.2,5465.416666666667,3.3
1384,KGL_S1836,Kaggle,3.8,58.7,Male,Poor,append,,,19,3.5,92.0,6487.5,2.8
1314,KGL_S1766,Kaggle,3.8,30.5,Male,Poor,append,,,21,0.0,85.6,6087.916666666666,5.3
585,KGL_S1037,Kaggle,3.9,59.4,Male,Poor,append,,,17,4.3,64.1,5237.916666666667,2.5
867,KGL_S1319,Kaggle,3.9,59.4,Male,Poor,append,,,22,2.8,73.7,5488.333333333334,6.6
1522,KGL_S1974,Kaggle,4.0,70.9,Male,Poor,append,,,20,3.0,90.1,6690.000000000001,4.2
